국가,확진자,사망자,완치자,치명(%),완치(%),발생률
미국🇺🇸,"34,419,838(+13,779)","617,463(+297)","28,767,507(+56,191)",1.8,83.6,"103,987"
인도🇮🇳,"29,977,861(+12,569)","389,302(+474)","28,926,038(+30,862)",1.3,96.5,"21,723"
브라질🇧🇷,"17,969,806(+41,878)","502,817(+899)","16,288,392(+68,154)",2.8,90.6,"84,540"
프랑스🇫🇷,"5,757,798(+487)","110,778(+40)","5,566,394(+9,808)",1.9,96.7,"88,210"
터키🇹🇷,"5,375,593(+5,294)","49,236(+51)","5,237,731(+5,093)",0.9,97.4,"63,738"
러시아🇷🇺,"5,350,919(+16,715)","130,347(+546)","4,889,450(+11,117)",2.4,91.4,"36,667"
영국🇬🇧,"4,640,507(+10,467)","127,981(+5)","4,303,996(+2,011)",2.8,92.7,"68,357"
아르헨티나🇦🇷,"4,277,395(+8,606)","89,490(+447)","3,910,835(+20,622)",2.1,91.4,"94,641"
이탈리아🇮🇹,"4,253,460(+484)","127,291(+21)","4,049,316(+11,320)",3.0,95.2,"70,350"
콜롬비아🇨🇴,"3,968,405(+23,239)","100,582(+648)","3,685,947(+18,786)",2.5,92.9,"77,991"
스페인🇪🇸,"3,764,651(+7,209)","80,689(+37)","3,560,034(+15,829)",2.1,94.6,"80,519"
독일🇩🇪,"3,730,599(+353)","91,007(+37)","3,608,100(+2,900)",2.4,96.7,"44,526"
이란🇮🇷,"3,117,336(+11,716)","83,217(+116)","2,771,705(+11,476)",2.7,88.9,"37,114"
폴란드🇵🇱,"2,879,030(+190)","74,858(+29)","2,650,773(+125)",2.6,92.1,"76,071"
멕시코🇲🇽,"2,478,551(+1,268)","231,244(+57)","1,974,255(+2,785)",9.3,79.7,"19,224"
우크라이나🇺🇦,"2,230,142(+296)","52,053(+21)","2,152,969(+829)",2.3,96.5,"50,994"
페루🇵🇪,"2,030,611(+986)","190,645(+220)",N/A,9.4,N/A,"61,586"
인도네시아🇮🇩,"2,018,113(+13,668)","55,291(+335)","1,810,136(+8,375)",2.7,89.7,"7,378"
남아프리카 공화국🇿🇦,"1,832,479(+9,160)","58,795(+93)","1,656,680(+9,177)",3.2,90.4,"30,897"
네덜란드🇳🇱,"1,680,228(+686)","17,730(+3)",N/A,1.1,N/A,"98,059"
체코🇨🇿,"1,666,192(+110)","30,283(+3)","1,633,482(+320)",1.8,98.0,"155,588"
칠레🇨🇱,"1,522,223(+5,205)","31,645(+132)","1,452,108(+6,405)",2.1,95.4,"79,630"
캐나다🇨🇦,"1,409,607(+771)","26,084(+8)","1,372,491(+1,491)",1.9,97.4,"37,348"
필리핀🇵🇭,"1,367,894(+3,655)","23,809(+60)","1,291,389(+6,746)",1.7,94.4,"12,483"
이라크🇮🇶,"1,298,703(+6,003)","16,935(+25)","1,209,918(+5,039)",1.3,93.2,"32,288"
스웨덴🇸🇪,"1,088,014(+3,378)","14,570(+33)",N/A,1.3,N/A,"107,732"
루마니아🇷🇴,"1,080,323(+41)","32,465(+74)","1,045,303(+96)",3.0,96.8,"56,157"
벨기에🇧🇪,"1,079,640(+225)","25,141(+5)","1,016,574",2.3,94.2,"93,156"
파키스탄🇵🇰,"949,838(+663)","22,034(+27)","894,352(+1,204)",2.3,94.2,"4,300"
포르투갈🇵🇹,"865,806(+756)","17,068(+3)","820,081(+393)",2.0,94.7,"84,910"
방글라데시🇧🇩,"861,150(+4,846)","13,702(+76)","788,385(+2,903)",1.6,91.6,"5,229"
이스라엘🇮🇱,"840,032(+165)","6,428","833,170(+109)",0.8,99.2,"97,051"
헝가리🇭🇺,"807,684(+54)","29,963(+4)","735,937(+363)",3.7,91.1,"83,608"
일본🇯🇵*,"785,969","14,439","749,282",1.8,95.3,"6,214"
요르단🇯🇴,"747,000(+520)","9,671(+9)","730,831(+646)",1.3,97.8,"73,213"
세르비아🇷🇸,"715,913(+72)","7,010(+6)","706,203(+215)",1.0,98.6,"81,937"
말레이시아🇲🇾,"705,762(+4,743)","4,554(+77)","639,181(+5,557)",0.6,90.6,"21,806"
스위스🇨🇭,"702,124(+130)","10,875(+3)","676,494",1.5,96.3,"81,127"
오스트리아🇦🇹,"649,728(+58)","10,684(+4)","636,523(+158)",1.6,98.0,"72,141"
네팔🇳🇵,"626,343(+3,703)","8,813(+41)","564,882(+4,954)",1.4,90.2,"21,497"
아랍에미레이트🇦🇪,"613,993","1,763","592,984",0.3,96.6,"62,080"
레바논🇱🇧,"543,551(+46)","7,825(+3)","530,393(+775)",1.4,97.6,"79,636"
모로코🇲🇦,"526,737(+86)","9,244(+6)","513,898(+217)",1.8,97.6,"14,271"
사우디아라비아🇸🇦,"475,403","7,691","457,128",1.6,96.2,"13,656"
에콰도르🇪🇨,"446,633(+192)","21,304(+11)","415,508",4.8,93.0,"25,315"
볼리비아🇧🇴,"422,811(+764)","16,174(+42)","340,959(+1,855)",3.8,80.6,"36,221"
불가리아🇧🇬,"421,152(+120)","18,000(+10)","393,186(+370)",4.3,93.4,"60,611"
그리스🇬🇷,"418,548(+206)","12,559(+17)","399,878(+872)",3.0,95.5,"40,156"
벨라루스🇧🇾,"411,551(+398)","3,063(+10)","404,240(+215)",0.7,98.2,"43,553"
카자흐스탄🇰🇿,"410,523(+943)","4,249(+7)","386,127(+1,084)",1.0,94.1,"21,863"
파라과이🇵🇾,"407,721(+1,501)","11,743(+110)","346,646(+2,687)",2.9,85.0,"57,164"
파나마🇵🇦,"394,241(+514)","6,477(+2)","377,243(+482)",1.6,95.7,"91,370"
슬로바키아🇸🇰,"391,385(+59)","12,502(+6)","378,050(+95)",3.2,96.6,"71,687"
튀니지🇹🇳,"385,428(+2,478)","14,118(+80)","336,652(+3,690)",3.7,87.3,"32,612"
조지아🇬🇪,"360,055(+914)","5,199(+24)","346,217(+635)",1.4,96.2,"90,258"
크로아티아🇭🇷,"359,259(+75)","8,188(+6)","350,539(+72)",2.3,97.6,"87,512"
우루과이🇺🇾,"356,382(+1,517)","5,316(+45)","326,871(+3,377)",1.5,91.7,"102,593"
코스타리카🇨🇷,"354,095(+3,465)","4,530(+57)","278,225(+6,097)",1.3,78.6,"69,511"
