,user_id,score,date,store,review_title,review_contents
0,rlrt****,5,21.01.16.,애플 공식 브랜드스토어,화이트 사고 싶어서 품절 풀릴때 까지 하루에 한번씩 들어와서 확인했어요!!! 저는 5-6시 사이 오후시간대에 구매했습니다 여기서 구매한게 가장 합리적이고 만족스러워요 네이버페이 포,화이트 사고 싶어서 품절 풀릴때 까지 하루에 한번씩 들어와서 확인했어요!!! 저는 5-6시 사이 오후시간대에 구매했습니다 여기서 구매한게 가장 합리적이고 만족스러워요 네이버페이 포인트가 이곳 저곳 유용하게 쓰이는데 포인트 많이 쌓이는게 제일 좋았어요bb배송도 하루만에 와서 빨리 받아 볼 수 있었어요!! 뽁뽁이로 싸져서 안전하게 배송됐어요 빠른배송 최고에요그리고 네이버 정식 애플사이트여서 믿고 구매했습니다!! 배송 오자마자 유투브 보면서 불량 확인 했는데 다행히 양품인것 같구요!!볼ㄸㅐ마다ㅠ영롱하고 너무 예뻐요 보고만있어도 흐뭇합니다 오래기다리다 구매해서 그런지 애틋하고 그러네요 ㅠㅠㅠxs쓰다가 넘어왔는데 가장 큰 차이점과 만족감은 일단 유투브 같은 영상의 화질이 너무 좋구요 그리고 무게도 너무 가벼워서 이전폰은 어떻게 썼나 싶네요!! 구매할때 강화필름 케이스 페키지가 품절이여서 같이 구매못한게 슬펐지만 예쁜 아이폰을 합리적이게 구매했다는 점에서 가장 만족스러워요!! 너~~~무 예쁩니다 꼭 사세요 두번 사세요 ㅠㅠㅠ
1,ngtv****,5,21.04.19.,애플 공식 브랜드스토어,포인트 받는거 까지 생각 하면 가격 괜찮게 구매 한것 같아요 배송도 다음날 바로 와서 걱정 없었고요  씨타입 케이블이라 충전기는 그전에 사용하던 케이블충전기를 계속 사용해야겠어요 ,포인트 받는거 까지 생각 하면 가격 괜찮게 구매 한것 같아요 배송도 다음날 바로 와서 걱정 없었고요  씨타입 케이블이라 충전기는 그전에 사용하던 케이블충전기를 계속 사용해야겠어요 ㅠ 이건 미리 알고 있던거라 ~~~ 그리고 생각보다 무겁지 않아요 디자인도 이쁘고 그립감도 좋어요화이트로 하길 잘한것 같아요 12프로랑 고민 했는데 12도 나쁘지 않는것 같습니다
2,star****,5,21.01.06.,애플 공식 브랜드스토어,아이폰6를 사용하다. 19년초 맛챙이라 가서. 갤럭시 처음 써보고.생각 보다갤럭시가 괜찮있다가. 에스케이는. 쓰레기장은 내구성에 질렸습니다. 몇번떨궜더니 액정이나감. 이전. 아이폰,"아이폰6를 사용하다. 19년초 맛챙이라 가서. 갤럭시 처음 써보고.생각 보다갤럭시가 괜찮있다가. 에스케이는. 쓰레기장은 내구성에 질렸습니다. 몇번떨궜더니 액정이나감. 이전. 아이폰4,6. 아무리떨궈도. 액정 나간적ㅇ없었는데. 마침 12 가 새로나왔다길래. 검정 흰색 사죄하고. 빨강 민트 파란 중 고민이많았습니다. 생각보다. 그린이. 남자랑. 잘맞네요. 여성. 여성하진않아요가격이너무비싸성망설여지고. 원래 핸드폰 욕심도없긴한데. 큰맘먹고 큰지출로 6년이상은버텨보갰습니다. 화면은 커졌는데 오타는 작렬하네요그간 아이폰이 너무 많이바껴. 많이어렵네요. 노인네인줄. 이쁜데 비싼데 찾게되는 이상한 핸드폰. 잘쓸게요"
3,wogu****,5,21.01.23.,애플 공식 브랜드스토어,배송 출고는 빨랐으나 배송되는 과정에서 택배사 문제로 조금 지연이 되어서 아쉬웠네요. 긱 불량없이 깨끗하고 안전하게 배송되어서 좋아요!여지껏 갤럭시만 쓰다가 처음 아이폰으로 바꿔보,배송 출고는 빨랐으나 배송되는 과정에서 택배사 문제로 조금 지연이 되어서 아쉬웠네요. 긱 불량없이 깨끗하고 안전하게 배송되어서 좋아요!여지껏 갤럭시만 쓰다가 처음 아이폰으로 바꿔보았는데 포인트도 8만포인트나 챙겨주시고 가격도 정가에 구하기가 진짜힘들었는데.. 저도 여기서 몇날몇일 입고시간마다 새로고침 체크하던중 화이트를 노력끝에 득템하였습니다.2주정도 된 지금 아주 잘쓰고있구요! 다음 아이폰도 여기서 사야겠어요~~!
4,gpfl****,4,20.12.22.,애플 공식 브랜드스토어,금욜늦은저녁에 주문해서 오늘(화요일)에 받았어요! 정말 이 화이트를 주문하기까지 얼마나 노력했는지...ㅠㅠ 거의 핸드폰 켤때마다 화이트 재고있나 네이버페이들어가서 확인했답니다. 그,금욜늦은저녁에 주문해서 오늘(화요일)에 받았어요! 정말 이 화이트를 주문하기까지 얼마나 노력했는지...ㅠㅠ 거의 핸드폰 켤때마다 화이트 재고있나 네이버페이들어가서 확인했답니다. 그런데 금욜에 퇴근하고 밥먹기전 들어갔는데 똭!!! 있어서 얼마나 두근두근 떨리던지 그리고 바로 네이버결제했지요! 근데 양품아닌게 올까봐 주문하고 나서 걱정이 조금 되었어요 하지만 아직은 잘 모르겠지만 무사히 잘 온것같어요. 6쓰다가 넘어가서 그런지 모르겠지만 조금은 두꺼운 감이 없잖아있었는데 그래도 프로보다 가볍고 디자인이 너무 예뻐요! 그리고 미니보다는 베터리 용량이 커서 주문하게 되었어요화이트 짱짱! 이제 받은 포인트로 케이스랑 사려고요ㅎㅎ 오래오래 같이 함께하자!
5,dogt****,5,21.03.13.,애플 공식 브랜드스토어,아이폰으로 바꾼 후 한 달 사용했어요. 화이트 색상은 처음인데 깔끔한 디자인이라서 질리지 않고 오래 사용할 수 있을 것 같아요. 제일 만족스러운 것은 카메라에요. 어두운 곳에서 찍,"아이폰으로 바꾼 후 한 달 사용했어요. 화이트 색상은 처음인데 깔끔한 디자인이라서 질리지 않고 오래 사용할 수 있을 것 같아요. 제일 만족스러운 것은 카메라에요. 어두운 곳에서 찍어도 분위기에 맞게 잘 나와요. 간단한 사진보정이나 트리밍도 좋구요, 폰의 무게도 가벼운 편이라서 들고 다니기 좋아요."
6,nara****,5,20.11.07.,애플 공식 브랜드스토어,일단 배송이 엄청 빨랐어요.  재고 기다리다가 6일 날 떠서 바로 결제했는데 하루만에 (7일)에 바로 왔어요. 포장도 튼튼하게 되어있더라고요. 핸드폰이랑 다른 유심이 같이 왔는데 ,일단 배송이 엄청 빨랐어요.  재고 기다리다가 6일 날 떠서 바로 결제했는데 하루만에 (7일)에 바로 왔어요. 포장도 튼튼하게 되어있더라고요. 핸드폰이랑 다른 유심이 같이 왔는데 이 유심은 어떻게 사용하는지는 잘 모르겠는데 기존에 사용하던 유심 사용하려구요~ 그리고 네이버 공식 판매처에서 구매하는 게 네이버 적립금 등 많은 할인을 받을 수 있어서 다른 곳에서 구매하는 것보다 많이 저렴해서 좋네요ㅎㅎ아이폰12 그린 색상은 사진보단 더 밝고 더 예뻐요. 조명마다 색깔이 다르게 보인답니다! 블랙을 사용했었는데 블랙은 먼지가 너무 잘 보이더라고요. 그런거에 예민하신 분들은 밝은 색상 구입하세요. 그린 완전 추천합니당 *꿀팁*품절이라고 되어 있어도 가끔가끔 재고 풀리니까 수시로 확인하시고 원하시는 색상 구매하세요! ♥
7,wjun****,5,21.01.06.,애플 공식 브랜드스토어,처음으로 자급제 폰을 구매하기 위해 검색하다 공식몰에서 1월 4일 아이폰12 화이트 재고 확인후 바로 구매했습니다. 배송은 좀 늦게 수요일 오후에 CJ택배로 수령했습니다. 네이버 ,처음으로 자급제 폰을 구매하기 위해 검색하다 공식몰에서 1월 4일 아이폰12 화이트 재고 확인후 바로 구매했습니다. 배송은 좀 늦게 수요일 오후에 CJ택배로 수령했습니다. 네이버 공식스토어에서 구매해서 네이버페이 포인트도 챙겨서 인지 조금이라도 더 저렴하게 구매하는 기분이 드네요. 남자는 블랙이라고 해서 4년 동안 아이폰은 블랙만 사용하다 이번에 XR에서 자급제로 갈아타면서 화이트를 오랜만에 구매 했습니다. 아이폰은 더 좋냐 나쁘냐로 판단하기 보단 그냥 아이폰의 감성 그거 하나 때문에 사용하는 폰이죠. 조금이라도 저렴하게 기기변경하려면 자급제폰을 최저가로 구입해서 체인지 하는게 가장 저렴한 방법 같습니다.
8,lant****,5,21.01.10.,애플 공식 브랜드스토어,배송/포장상태: ★★★★★ (매우 만족)사실 아이폰처럼 100만원이 넘어가는 고가의 제품들을 오프라인보다 인터넷에서 주문하는데 있어 가장 걱정되는건 아무래도 '배송'이라고 저는 생,"배송/포장상태: ★★★★★ (매우 만족)사실 아이폰처럼 100만원이 넘어가는 고가의 제품들을 오프라인보다 인터넷에서 주문하는데 있어 가장 걱정되는건 아무래도 '배송'이라고 저는 생각했습니다. 그래서 정말 핸드폰이 오기 전까지 걱정을 정말 많이 했는데 그럴필요 전혀없었습니다. 배송된 박스를 열면 아이폰이 사진과 같이 포장되어있습니다. ""뽁뽁이로 3겹이상정도 +박스에 파손주의 테이프""가 감겨있습니다. 그래서 박스파손이 없는 것 같아 택배사측에서도 꽤 신경을 써주신 것 같은 느낌이 들었습니다. 혹여라도 파손될까봐 주문을 주저하신다면 주저없이! 주문하셔도 좋을 것 같습니다ㅎㅎ제품 만족도: ★★★★★ (매우 만족) - 노치가 아쉽긴하지만 나머지 부분에서 완벽에 가까운 제품이었다.아이폰12가 처음 나왔을 떄, 혁신이 없다고 했지만 며칠전에는 '갤럭시의 판매량을 추월했다'는 이야기, '1초에 10대씩 팔렸다' 라는 기사를 접했던 기억이 납니다. 지금까지 계속 갤럭시만을 써왔고 현재 갤럭시 노트10 제품을 사용 중이던 저로써는 도대체 왜 사과에 사람들이 열광하는 걸까? 라는 의문만 들었습니다. 하지만 이번 아이폰 12 정말 대단합니다. 디자인 부분에서는 아이폰의 둥글둥글한 카메라와 제품의 틀 그리고  깻잎통조림의 디테일들이 상당히 매력적으로 다가왔습니다. 그리고 아이폰의 진동은 처음 느껴봤는데 이건 겔럭시에 비해 확실히 한 수 위라고 느껴졌습니다. 비록 펀치홀의 제품(노트10)을 사용하다가 노치제품(아이폰12)을 보니 좀 거슬리긴 했으나 그걸 제외하면 무게, 디자인, ios 특유의 부드러움, 카메라 모두 만족스러운 구매였다고 저는 생각합니다!"
9,m*n*****,5,21.05.07.,하이마트쇼핑몰,배송 받아보니 박스 양옆 테이프,"배송 받아보니 박스 양옆 테이프가 사진처럼 다 찢겨서 왔고 그 사이가 붕 떠있으면서 박스 안쪽 날개 다 구겨져있는거보니 누가봐도 팔을 집어넣어서 헤집은거 같은데 택배가 도착하자마자 갖고 들어온거기때문에 건물에서 일어난 일은 아니고 출고던 물류던 제품이 이동하는 과정에서 누군가 강제로 뜯은것으로 보입니다.패키징을 하고나서 검수할 일은 없을텐데 왜 테이프를 뜯어서 손을 집어넣었을까요? 옆에 유심들어있는 똑같은 박스는 멀쩡한데 핸드폰이 들어있는 박스만 그렇네요.다행히 제품은 이상없지만 테이프 뜯어져서 받아보긴 처음이라 제품 자체는 만족, 택배는 불만족입니다."
