Category,LectureCode,Content,Link,
R 기본 및 R 기본 활용(전수업 내용),STAT_BASIC_00,R 기본 전체(전 수업 링크),https://github.com/LDJWJ/RBasic/tree/master/01_RClass,
통계기본,STAT_BASIC_01,통계기본이해하기(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/Stat01_01_Basic_Summary_v12.pdf,
통계기본,STAT_BASIC_02,가설검정이해(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/Stat01_02_Hypo_v10.pdf,
통계기본,STAT_LAB_01,통계기본이해_실습(1)-통계가설검정,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat01_Lab02_ttest_v11.html,
통계기본,STAT_LAB_01,통계기본이해_실습(1)-통계가설검정,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat01_Lab02_v10.html,
통계기본,STAT_BASIC_03,회귀분석이해(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/Stat02_Regression_v10.pdf,
통계기본,STAT_LAB_02,첫번째 모델 만들기,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat02_Lab01_lm_firstmodel.html,
통계기본,STAT_LAB_03,회귀 모델 실습(1)-mtcars,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat02_Lab02_lm_mtcars.html,
통계기본,STAT_LAB_04,회귀 모델 실습(2)-Boston 집값 예측,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat02_Lab03_lm_housing.html,
통계기본,STAT_LAB_05,회귀 모델 실습(3) - 캐글 데이터-집값 예측,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat02_Lab04_lm_house_adv.html,
통계기본,STAT_LAB_06,로지스틱 회귀 모델 실습(1) - 인디언 암 예측,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat03_Lab05_logit_indian.html,
통계기본,STAT_BASIC_04,의사결정트리 기본 이해(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat04_decisiontree_v11.pdf,
통계기본,STAT_LAB_07,의사결정트리 실습(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat04_Lab01_tree_titanic.html,
통계기본,STAT_LAB_08,의사결정트리 실습(2),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat04_Lab02_tree_titanic.html,
통계기본,STAT_LAB_EDA_01,데이터 탐색 - Boston 집값,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/stat02_Lab03_eda_housing.html,
R_LevelUp,R_TM_01,텍스트 마이닝 시작하기,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/R_LV_Up08_TextMining.html,
R_LevelUp,R_TM_LAB_01,KoNLP를 패키지를 활용한 텍스트 분석(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/TM_Lab01_KoNLP.html,
R_LevelUp,R_TM_LAB_02,텍스트 감정 분석(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/TM_LAB06_sentiment.html,
R_LevelUp,R_TM_LAB_03,TFIDF 이해하기(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/TM_Lab02_tfidf01.html,
R_LevelUp,R_MYSQL_LAB_01,R과 MySQL 연동 환경 만들기,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/R_MYSQL_01_1909.pdf,
R_LevelUp,R_MYSQL_LAB_02,R과 MySQL 연동 실습하기,https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/R_LV_Up_MySQL01.html,
R_LevelUp,R_DATAVIS_LAB_01,데이터 시각화 기본(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/B01_dataVis0418.pdf,
R_LevelUp,R_DATAVIS_LAB_02,데이터 시각화 기본(2),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/B01_plot_basic.pdf,
R_LevelUp,R_DATAVIS_LAB_03,데이터 시각화 기본(3),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/B02_ggplot2_jitter.pdf,
R_LevelUp,R_DATAVIS_LAB_04,데이터 시각화 기본(4),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/B03_ggplot2_custom.pdf,
R_LevelUp,R_DATAVIS_LAB_05,데이터 시각화 활용(5),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/DataVis_R_Lab07_networkAna01.r,
R_LevelUp,R_DATAVIS_LAB_06,데이터 시각화 참고자료(1),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/G01_Graph_0601.r,
R_LevelUp,R_DATAVIS_LAB_07,데이터 시각화 참고자료(2),https://ldjwj.github.io/00_SBA01_BigData/05_HTML/01_RClass/G02_Graph_0601.r,
